w_n              t_n
62160.8823529412  43.087289
61449.9019607843  43.189032
61901.4705882353  43.290775
62449.1176470588  43.392518
61834.2156862745  43.494261
           61815  43.596004
62045.5882352941  43.697747
61911.0784313726   43.79949
62141.6666666667  43.901233
61968.7254901961  44.002976
62900.6862745098  44.104719
61911.0784313725  44.206462
61843.8235294118  44.308205
62035.9803921569  44.409948
62122.4509803922  44.511691
61517.1568627451  44.613434
 61776.568627451  44.715177
61843.8235294118   44.81692
62641.2745098039  44.918663
 61699.705882353  45.020406
61949.5098039216  45.122149
61594.0196078431  45.223892
62141.6666666667  45.325635
61728.5294117647  45.427378
61699.7058823529  45.529121
61642.0588235294  45.630864
61632.4509803922  45.732607
62420.2941176471   45.83435
62016.7647058824  45.936093
61690.0980392157  46.037836
61613.2352941177  46.139579
62103.2352941177  46.241322
62064.8039215686  46.343065
62218.5294117647  46.444808
61834.2156862745  46.546551
62035.9803921569  46.648294
62055.1960784314  46.750037
61728.5294117647   46.85178
61997.5490196078  46.953523
62314.6078431373  47.055266
61843.8235294118  47.157009
61757.3529411765  47.258752
62247.3529411765  47.360495
61911.0784313725  47.462238
61872.6470588235  47.563981
61968.7254901961  47.665724
 61891.862745098  47.767467
61987.9411764706   47.86921
61901.4705882353  47.970953
61930.2941176471  48.072696
           61815  48.174439
62775.7843137255  48.276182
62093.6274509804  48.377925
61334.6078431373  48.479668
61997.5490196079  48.581411
62093.6274509804  48.683154
61930.2941176471  48.784897
62189.7058823529   48.88664
 61738.137254902  48.988383
62449.1176470588  49.090126
61959.1176470588  49.191869
61613.2352941176  49.293612
61594.0196078431  49.395355
61584.4117647059  49.497098
61574.8039215686  49.598841
61959.1176470588  49.700584
61968.7254901961  49.802327
62295.3921568628   49.90407
61843.8235294118  50.005813
61795.7843137255  50.107556
62324.2156862745  50.209299
61843.8235294118  50.311042
61670.8823529412  50.412785
 62266.568627451  50.514528
61651.6666666667  50.616271
62151.2745098039  50.718014
62439.5098039216  50.819757
61959.1176470588    50.9215
61920.6862745098  51.023243
61786.1764705882  51.124986
61613.2352941176  51.226729
61574.8039215686  51.328472
62170.4901960784  51.430215
62007.1568627451  51.531958
61997.5490196079  51.633701
61920.6862745098  51.735444
62295.3921568628  51.837187
62766.1764705882   51.93893
61805.3921568628  52.040673
61584.4117647059  52.142416
61959.1176470588  52.244159
 61738.137254902  52.345902
           61815  52.447645
61766.9607843137  52.549388
61613.2352941177  52.651131
61747.7450980392  52.752874
 61776.568627451  52.854617
62026.3725490196   52.95636
61959.1176470588  53.058103
62151.2745098039  53.159846
61987.9411764706  53.261589
62497.1568627451  53.363332
62035.9803921569  53.465075
61353.8235294118  53.566818
61651.6666666667  53.668561
61882.2549019608  53.770304
62007.1568627451  53.872047
62804.6078431373   53.97379
61997.5490196078  54.075533
62477.9411764706  54.177276
61690.0980392157  54.279019
